id;age;income;marital_status;children;budget;city;property_type;bought
1;62.0;34592.0;single;0.0;105783.0;Marrakech;apartment;1
2;27.0;97397.0;married;0.0;266306.0;Casablanca;villa;0
3;34.0;113850.0;married;4.0;404030.0;Tangier;villa;1
4;22.0;119458.0;married;3.0;400259.0;Casablanca;villa;1
5;28.0;32156.0;single;0.0;108040.0;Rabat;duplex;1
6;56.0;36361.0;divorced;3.0;98065.0;Rabat;apartment;1
7;45.0;95674.0;single;0.0;397349.0;Rabat;apartment;1
8;28.0;69823.0;single;0.0;238241.0;Rabat;apartment;1
9;65.0;104939.0;single;0.0;402477.0;Casablanca;villa;0
10;62.0;110198.0;married;2.0;507696.0;Marrakech;villa;0
11;42.0;72581.0;single;0.0;352545.0;Rabat;villa;0
12;63.0;80142.0;single;0.0;349617.0;Agadir;villa;0
13;59.0;72350.0;single;1.0;205895.0;Tangier;apartment;0
14;29.0;40033.0;married;3.0;159772.0;Tangier;apartment;1
15;55.0;52953.0;divorced;0.0;222440.0;Marrakech;apartment;0
16;39.0;104012.0;single;0.0;301155.0;Marrakech;apartment;1
17;38.0;85612.0;married;4.0;409359.0;Rabat;apartment;0
18;34.0;40032.0;single;0.0;195506.0;Agadir;duplex;0
19;53.0;22552.0;single;0.0;111932.0;Rabat;apartment;0
20;58.0;30322.0;single;0.0;81051.0;Agadir;apartment;0
21;52.0;92063.0;single;0.0;369769.0;Casablanca;apartment;1
22;34.0;113447.0;single;1.0;467934.0;Tangier;apartment;0
23;37.0;49451.0;single;0.0;192107.0;Agadir;apartment;0
24;62.0;27716.0;single;1.0;128854.0;Marrakech;apartment;0
25;53.0;48080.0;married;4.0;189460.0;Casablanca;duplex;1
26;34.0;32363.0;single;0.0;115178.0;Tangier;duplex;0
27;63.0;104696.0;single;0.0;350549.0;Marrakech;villa;0
28;50.0;38373.0;married;2.0;140313.0;Marrakech;apartment;1
29;57.0;32833.0;single;1.0;150705.0;Marrakech;duplex;1
30;32.0;73269.0;married;1.0;341552.0;Marrakech;villa;0
31;46.0;54760.0;divorced;3.0;175950.0;Agadir;apartment;0
32;34.0;58890.0;single;0.0;255543.0;Marrakech;duplex;0
33;59.0;82493.0;married;4.0;238700.0;Agadir;apartment;0
34;60.0;28907.0;married;1.0;101447.0;Agadir;apartment;0
35;61.0;30745.0;married;4.0;120307.0;Rabat;duplex;0
36;42.0;51285.0;single;0.0;210973.0;Tangier;apartment;1
37;26.0;21220.0;married;4.0;105892.0;Marrakech;apartment;0
38;30.0;65745.0;married;1.0;225098.0;Casablanca;apartment;0
39;41.0;100173.0;divorced;0.0;417687.0;Agadir;villa;1
40;30.0;54664.0;single;0.0;212263.0;Rabat;apartment;0
41;43.0;46685.0;married;2.0;175700.0;Rabat;duplex;1
42;27.0;103136.0;married;2.0;269207.0;Rabat;duplex;1
43;38.0;41178.0;married;4.0;175589.0;Agadir;apartment;0
44;31.0;91511.0;single;0.0;355182.0;Tangier;villa;0
45;24.0;66898.0;single;0.0;184436.0;Agadir;duplex;0
46;61.0;118235.0;single;1.0;551154.0;Casablanca;apartment;0
47;43.0;73964.0;married;1.0;234245.0;Marrakech;apartment;0
48;52.0;49154.0;single;1.0;165852.0;Casablanca;apartment;1
49;47.0;63025.0;single;0.0;279409.0;Rabat;duplex;0
50;56.0;63404.0;divorced;0.0;297529.0;Rabat;villa;1
51;38.0;25014.0;single;0.0;108094.0;Rabat;apartment;1
52;29.0;70488.0;married;1.0;221107.0;Tangier;apartment;1
53;56.0;110027.0;married;1.0;375252.0;Marrakech;apartment;1
54;61.0;61145.0;married;0.0;262885.0;Rabat;villa;1
55;42.0;72743.0;married;4.0;205005.0;Tangier;apartment;0
56;33.0;100676.0;married;3.0;389600.0;Marrakech;villa;0
57;59.0;99516.0;married;3.0;358701.0;Casablanca;villa;1
58;32.0;106356.0;single;0.0;434182.0;Rabat;villa;1
59;37.0;108184.0;single;0.0;310313.0;Marrakech;villa;0
60;26.0;79692.0;married;4.0;237967.0;Tangier;apartment;0
61;63.0;110128.0;single;0.0;487329.0;Marrakech;duplex;0
62;55.0;80889.0;single;0.0;373775.0;Tangier;villa;0
63;55.0;93259.0;married;3.0;375985.0;Agadir;villa;1
64;50.0;40861.0;married;3.0;148128.0;Casablanca;duplex;0
65;55.0;83517.0;married;2.0;300634.0;Rabat;villa;0
66;56.0;30561.0;single;0.0;129422.0;Casablanca;apartment;0
67;56.0;81069.0;married;1.0;371476.0;Tangier;apartment;0
68;23.0;95456.0;single;0.0;322583.0;Tangier;apartment;1
69;48.0;90545.0;married;4.0;407422.0;Casablanca;villa;0
70;53.0;23804.0;single;0.0;107007.0;Casablanca;duplex;1
71;61.0;90008.0;single;0.0;352019.0;Marrakech;villa;0
72;51.0;43819.0;single;0.0;132734.0;Rabat;apartment;1
73;39.0;118567.0;divorced;3.0;371195.0;Marrakech;villa;1
74;25.0;65870.0;single;0.0;322316.0;Marrakech;duplex;1
75;34.0;22671.0;married;1.0;63831.0;Marrakech;studio;0
76;38.0;68351.0;single;0.0;298681.0;Marrakech;duplex;0
77;41.0;34168.0;married;2.0;134604.0;Tangier;apartment;1
78;26.0;97607.0;married;1.0;268883.0;Rabat;apartment;1
79;29.0;94177.0;married;2.0;360873.0;Rabat;villa;1
80;22.0;75057.0;married;0.0;268989.0;Rabat;duplex;1
81;31.0;77080.0;single;0.0;318043.0;Agadir;apartment;0
82;52.0;80931.0;married;4.0;256631.0;Casablanca;apartment;0
83;50.0;51963.0;married;4.0;209194.0;Tangier;apartment;0
84;42.0;43834.0;married;2.0;197015.0;Rabat;apartment;0
85;39.0;92848.0;single;1.0;251992.0;Tangier;villa;1
86;52.0;104659.0;married;3.0;469116.0;Marrakech;villa;0
87;37.0;60135.0;married;2.0;221486.0;Agadir;apartment;1
88;57.0;63357.0;single;0.0;206959.0;Casablanca;apartment;0
89;29.0;117370.0;married;1.0;349627.0;Tangier;villa;0
90;55.0;98222.0;single;0.0;293221.0;Casablanca;villa;0
91;56.0;36591.0;single;1.0;142097.0;Casablanca;apartment;1
92;28.0;21607.0;married;3.0;79876.0;Rabat;studio;0
93;52.0;34953.0;married;3.0;130352.0;Agadir;apartment;0
94;31.0;93772.0;divorced;0.0;467434.0;Marrakech;villa;0
95;60.0;101057.0;single;0.0;366461.0;Tangier;villa;0
96;49.0;60026.0;married;0.0;241549.0;Marrakech;duplex;0
97;35.0;54687.0;married;1.0;169511.0;Agadir;apartment;0
98;50.0;110357.0;married;2.0;284897.0;Rabat;duplex;1
99;51.0;29329.0;married;2.0;131088.0;Agadir;apartment;1
100;49.0;35043.0;married;1.0;167191.0;Casablanca;apartment;0
101;41.0;97993.0;married;4.0;470658.0;Tangier;villa;1
102;47.0;55683.0;married;3.0;200146.0;Agadir;apartment;0
103;42.0;99129.0;single;0.0;486205.0;Agadir;villa;0
104;65.0;55325.0;married;1.0;203388.0;Tangier;duplex;0
105;59.0;77132.0;married;3.0;379692.0;Tangier;villa;0
106;64.0;33710.0;married;2.0;118966.0;Tangier;apartment;1
107;57.0;24809.0;married;2.0;77676.0;Marrakech;apartment;0
108;54.0;20150.0;married;4.0;73647.0;Marrakech;studio;0
109;53.0;101973.0;married;0.0;306826.0;Agadir;villa;0
110;53.0;35915.0;single;0.0;161555.0;Casablanca;apartment;0
111;48.0;32217.0;single;0.0;89680.0;Marrakech;apartment;0
112;40.0;86698.0;married;3.0;397667.0;Tangier;villa;0
113;46.0;44983.0;divorced;1.0;209623.0;Rabat;duplex;1
114;43.0;86550.0;single;0.0;373474.0;Agadir;villa;1
115;31.0;78529.0;married;2.0;261587.0;Agadir;villa;1
116;34.0;111422.0;single;0.0;517001.0;Tangier;villa;1
117;46.0;70604.0;divorced;1.0;263940.0;Marrakech;villa;1
118;43.0;33154.0;married;3.0;91149.0;Tangier;studio;0
119;63.0;40232.0;single;0.0;127235.0;Agadir;apartment;1
120;43.0;108389.0;married;3.0;529518.0;Tangier;apartment;0
121;26.0;50771.0;married;2.0;253528.0;Marrakech;villa;0
122;62.0;112260.0;married;3.0;327340.0;Rabat;apartment;0
123;25.0;58452.0;single;0.0;181814.0;Tangier;apartment;1
124;32.0;42946.0;single;1.0;173900.0;Casablanca;apartment;0
125;36.0;80443.0;married;3.0;252455.0;Marrakech;apartment;0
126;40.0;108815.0;married;0.0;392204.0;Rabat;apartment;0
127;49.0;110480.0;single;0.0;331223.0;Tangier;apartment;0
128;46.0;94963.0;single;0.0;403421.0;Marrakech;apartment;1
129;39.0;21061.0;married;0.0;100598.0;Tangier;duplex;1
130;36.0;99569.0;married;1.0;407391.0;Agadir;villa;1
131;64.0;109241.0;married;0.0;519824.0;Marrakech;villa;0
132;59.0;67823.0;married;0.0;323791.0;Rabat;duplex;0
133;30.0;90701.0;married;2.0;347124.0;Rabat;apartment;0
134;52.0;58684.0;married;2.0;264698.0;Tangier;apartment;0
135;36.0;108647.0;married;3.0;534344.0;Agadir;villa;1
136;22.0;54663.0;married;3.0;187027.0;Rabat;apartment;1
137;45.0;34201.0;married;3.0;87642.0;Agadir;studio;1
138;63.0;28285.0;married;3.0;135017.0;Rabat;apartment;0
139;24.0;24877.0;single;0.0;68237.0;Agadir;studio;0
140;64.0;117404.0;married;4.0;416527.0;Casablanca;apartment;1
141;53.0;100694.0;married;2.0;259970.0;Rabat;villa;0
142;37.0;67537.0;single;0.0;260771.0;Rabat;villa;0
143;29.0;79600.0;single;0.0;326259.0;Marrakech;villa;0
144;30.0;94000.0;single;0.0;365238.0;Agadir;villa;1
145;43.0;39340.0;married;4.0;98628.0;Casablanca;apartment;0
146;33.0;34408.0;married;0.0;97357.0;Rabat;apartment;0
147;42.0;22068.0;single;0.0;96090.0;Agadir;studio;0
148;50.0;67453.0;married;0.0;244855.0;Casablanca;duplex;0
149;64.0;88347.0;single;0.0;227747.0;Tangier;duplex;0
150;28.0;84260.0;married;3.0;226130.0;Marrakech;apartment;0
151;30.0;56046.0;married;4.0;216947.0;Rabat;apartment;0
